nid,id,name,description,resource_markdown
158,UBERON:0001043,esophagus,"Tube that connects the pharynx to the stomach. In mammals, the oesophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinised epithelium lining the buccal cavity is continued through the pharynx down into the oesophagus. The lowest part of the oesophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the oesophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the oesophagus enters the stomach to prevent gastro-oesophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the oesophagus, where they can cause inflammation and irritation (Wilson and Washington, 1989; Brown et al., 1993).",
159,UBERON:0001052,rectum,"the terminal portion of the intestinal tube, terminating with the anus",
160,UBERON:0001087,pleural fluid,Transudate contained in the pleural cavity.,
163,UBERON:0001137,dorsum,A major subdivision of an organism that is the entire part of the organism dorsal to a horizontal plane and bounded on one side by the same transverse plane. In vertebrares this includes the vertebral column..,
164,UBERON:0001153,caecum,"A pouch in the digestive tract that connects the ileum with the ascending colon of the large intestine. It is separated from the ileum by the ileocecal valve, and is the beginning of the large intestine. It is also separated from the colon by the cecocolic junction.",
165,UBERON:0001156,ascending colon,Section of colon which is distal to the cecum and proximal to the transversecolon.,
167,UBERON:0001158,descending colon,The portion of the colon between the left colic flexure and the sigmoid colon at the pelvic brim; the portion of the descending colon lying in the left iliac fossa is sometimes called the iliac colon.,
169,UBERON:0001352,external acoustic meatus,A tube running from the outer ear to the middle ear. The human ear canal extends from the pinna to the eardrum and is about 26 mm in length and 7 mm in diameter.,
170,UBERON:0001456,face,"A subdivision of the head that has as parts the layers deep to the surface of the anterior surface, including the mouth, eyes, and nose (when present). In vertebrates, this includes the facial skeleton and structures superficial to the facial skeleton (cheeks, mouth, eyeballs, skin of face, etc).",
171,UBERON:0001459,skin of external ear,A zone of skin that is part of a external ear.,
172,UBERON:0001460,arm,The part of the forelimb extending from the shoulder to the autopod.,
173,UBERON:0001461,elbow,"The elbow is the region surrounding the elbow-joint-the ginglymus or hinge joint in the middle of the arm. Three bones form the elbow joint: the humerus of the upper arm, and the paired radius and ulna of the forearm. The bony prominence at the very tip of the elbow is the olecranon process of the ulna, and the inner aspect of the elbow is called the antecubital fossa..",
174,UBERON:0001464,hip,"The hip region is located lateral to the gluteal region (i.e. the buttock), inferior to the iliac crest, and overlying the greater trochanter of the thigh bone. In adults, three of the bones of the pelvis have fused into the hip bone which forms part of the hip region. The hip joint, scientifically referred to as the acetabulofemoral joint (art. coxae), is the joint between the femur and acetabulum of the pelvis and its primary function is to support the weight of the body in both static (e.g. standing) and dynamic (e.g. walking or running) postures..",
175,UBERON:0001465,knee,A segment of the hindlimb that corresponds to the joint connecting a hindlimb stylopod and zeugopod.,
176,UBERON:0001466,pedal digit,A digit that is part of a pes (foot).,
177,UBERON:0001467,shoulder,"A subdivision of the pectoral complex consisting of the structures in the region of the shoulder joint (which connects the humerus, scapula and clavicle).",
178,UBERON:0001474,bone element,Skeletal element that is composed of bone tissue.,
179,UBERON:0001517,skin of elbow,A zone of skin that is part of a elbow.,
180,UBERON:0001555,digestive tract,A tube extending from the mouth to the anus.,
182,UBERON:0001707,nasal cavity,"An anatomical cavity that is part of the olfactory apparatus. This includes the space bounded anteriorly by the nares and posteriorly by the choanae, when these structures are present.",
183,UBERON:0001728,nasopharynx,the section of the pharynx that lies above the soft palate,
184,UBERON:0001825,paranasal sinus,the paired air-filled cavities surrounded by the bones of the face that are lined by mucous membranes and are continuous with the nasal cavity,
185,UBERON:0001828,gingiva,"The fibrous investing tissue, covered by keratinized epithelium, that immediately surrounds a tooth and is contiguous with its periodontal ligament and with the mucosal tissues of the mouth.",
189,UBERON:0001988,feces,Portion of semisolid bodily waste discharged through the anus,
192,UBERON:0002116,ileum,the portion of the small intestine that extends from the jejunum to the colon,
193,UBERON:0002373,palatine tonsil,"tonsils on the left and right sides at the back of the throat. one of the mucosa-associated lymphoid tissues (MALT), located at the entrance to the upper respiratory and gastrointestinal tracts to protect the body from the entry of exogenous material through mucosal sites.",
194,UBERON:0002386,forelimb zeugopod,"The middle limb segment of the pectoral free limb, between the autopod and stylopod segments. Includes as parts the forelimb zeugopodial skeleton, which includes as parts the radius and ulna, or their cartilage precursors, or evolutionary variants.",
195,UBERON:0002387,pes,"distal portion of the hind limb, including tarsal region, metatarsal region and digits.",
196,UBERON:0002398,manus,"distal segment of the fore limb, including carpal region, metacarpal region and digits.",
197,UBERON:0003216,hard palate,"Anterior portion of the palate consisting of bone and mucous membranes. The hard palate is formed from bony processes of the maxilla, premaxilla and palatine.",
198,UBERON:0003457,head bone,A bone that is part of a head.,
199,UBERON:0003631,pedal digit 1,1st digit of the hind autopod.,
200,UBERON:0003823,hindlimb zeugopod,"The middle limb segment of the pelvic free limb, between the autopod and stylopod segments. Includes as parts the hindlimb zeugopodial skeleton, which includes as parts the tibia and fibula, or their cartilage precursors, or evolutionary variants.",
201,UBERON:0004122,genitourinary system,Anatomical system that has as its parts the organs concerned with the production and excretion of urine and those concerned with reproduction.,
202,UBERON:0004248,pedal digit bone,A bone that is part of a hindlimb digit. Typically phalanges but may include sesamoids.,
203,UBERON:0004548,left eye,An eye that is part of a left side of organism.,
204,UBERON:0005277,dorsal skin of toe,A dorsal skin of digit that is part of a pedal digit.,
205,UBERON:0005902,occipital region,Anatomical cluster that is located in the posterior region of the cranium and forms the margin of the foramen magnum and occipital condyles.,
206,UBERON:0006956,buccal mucosa,The inner lining of the cheeks and lips.,
207,UBERON:0007311,sputum,"Matter ejected from the lungs, bronchi, and trachea, through the mouth.",
208,UBERON:0008337,inguinal part of abdomen,The external junctural region between the lower part of the abdomen and the thigh.,
209,UBERON:0009471,dorsum of tongue,"The superior surface of the tongue divided by the sulcus terminalis into an anterior two-thirds, the presulcal part (pars presulcalis). and a posterior one-third, the postsulcal part (pars postsulcalis).",
210,UBERON:0009567,nail of pedal digit,A nail that is part of a pedal digit.,
211,UBERON:0011270,dorsal trunk,The part of the trunk that is in the dorsum.,
212,UBERON:0012317,vagina orifice,"The median slit located inferior and posterior to the external urethral orifice in the female; the exit for menstrual flow and birth and the entrance for the penis during sexual intercourse; the size and appearance of the vaginal orifice varies inversely with that of the hymen (G. membrane), a thin fold of mucous membrane that surrounds the vaginal orifice",
213,UBERON:0012336,perianal skin,A zone of skin that is part of the area surrounding the anus.,
214,UBERON:0013069,popliteal area,"A depression on the ventral side of the femur, at the knee joint, between the condyles.",
215,UBERON:0013691,buttock,A zone of soft tissue located on the posterior of the lateral side of the pelvic region corresponding to the gluteal muscles.,
216,UBERON:0015875,heel,The part of the foot that is the projection of the calcaneus.,
217,UBERON:0016484,subgingival dental plaque,,
218,UBERON:0016485,supragingival dental plaque,,
219,UBERON:0016486,posterior fornix of vagina,The vaginal fornix that is behind the cervix. It is close to the recto-uterine pouch.,
220,UBERON:0017717,hypothenar eminence,Hypothenar refers to a group of three muscles of the palm that control the motion of the little finger. The three muscles are: Abductor digiti minimi Flexor digiti minimi Opponens digiti minimi,
221,UBERON:0022276,splenic flexure of colon,"The splenic (or left colic) flexure is a sharp bend between the transverse and the descending colon in the left upper quadrant of humans. The left colic flexure is near the spleen, and hence called the splenic flexure. There are two colic flexures in the transverse colon &mdash; the other being the hepatic flexure in the right upper quadrant.",
222,UBERON:0022277,hepatic flexure of colon,"Hepatic (or the right colic) flexure is the sharp bend between the ascending and the transverse colon. The right colic flexure is adjacent to the liver, and is therefore also known as the hepatic flexure. Thus, the left colic flexure is also known as the splenic flexure (as it is close to the spleen). The hepatic flexure lies in the right upper quadrant of the abdomen in humans.",
223,UBERON:0034766,glabella region,A region of the forehead corresponding to the space between the eyebrows and above the nose.,
224,UBERON:0035295,left ear,The organ of hearing located on the left side of the head.,
225,UBERON:2001427,anterior naris,,
226,UBERON:2001553,manubrium,,
227,UBERON:3011048,genital system,,
228,UBERON:0001182,superior mesenteric artery,Mesenteric artery that supplies the whole length of the small intestine except the superior part of the duodenum. It also supplies the cecum and the ascending part of the colon and about half the transverse part of the colon. It arises from the anterior surface of the aorta below the celiac artery at the level of the first lumbar vertebra.,
229,UBERON:2000866,epaxial region somite 15,"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995.",
231,UBERON:0005051,mediastinum testis,"The mediastinum testis is a network of fibrous connective tissue that extends from the upper to near the lower extremity of the testis, and is wider above than below. From its front and sides numerous imperfect septa (trabeculæ) are given off, which radiate toward the surface of the organ, and are attached to the tunica albuginea. They divide the interior of the organ into a number of incomplete spaces, called lobules. These are somewhat cone-shaped, being broad at their bases at the surface of the gland, and becoming narrower as they converge to the mediastinum. The mediastinum supports the rete testis and blood vessels of the testis in their passage to and from the substance of the gland",
232,UBERON:0005491,glossopharyngeal neural crest,Cranial neural crest which gives rise to the glossopharyngeal ganglion.,
233,UBERON:0014599,paraventricular nucleus of the hypothalamus magnocellular division - anterior magnocellular part,,
234,UBERON:0006952,outer dental epithelium,Outer layer of cells of the dental organ.,
235,UBERON:0010002,pulmonary neuroendocrine body,"corpuscular, organoid structures composed of PNECs, found as distinctive innervated clusters only within intrapulmonary airways, where they appear concentrated at airway branch points; NEBs reach from the basement membrane to the airway lumen and are thought to function as oxygen sensors.",
236,UBERON:0011106,cruciate ligament of atlas,"A cruciate ligament in the neck forming part of the atlanto-axial joint. It consists of the transverse ligament of the atlas, along with additional fibers above and below.",
237,UBERON:0002129,cerebellar cortex,"The superficial gray matter of the cerebellum. It consists of three main layers, the molecular layer, the Purkinje cell layer and the granule cell layer.",
238,UBERON:0002136,hilus of dentate gyrus,"Layer of the dentate gyrus lying deep to the granule cell layer, within the opening of the C or V formed by the granule cell layer characterized by loosely packed polymorphic cells",
239,UBERON:2007067,obsolete vagal ganglion,,
240,UBERON:0003031,submedial nucleus of thalamus,"Thalamic nucleus separated from the ventromedial part of the mediodorsal nucleus of the thalamus by the internal medullary lamina (Paxinos The rat nervous system 2nd ed, Academic Press, 1995).",
241,UBERON:4000174,caudal fin lepidotrichium,Lepidotrichium that is part of the caudal fin skeleton.,
242,UBERON:0009749,limb mesenchyme,"The primordial embryonic connective tissue of the developing limbs, autopods and digits, consisting of mesenchymal cells supported in interlaminar jelly, that derive mostly from the mesoderm and contribute to limb connective tissue, bone and musculature in conjunction with myotome cells.",
243,UBERON:0007497,obsolete developing epithelial placode,OBSOLETE: A domain of columnar epithelium in an embryo that represents the early stage of the development of the epithelial component of a new anatomical structure.,
244,UBERON:3010289,obsolete follicle cell,,
245,UBERON:0006801,proximal head of humerus,Hemispherical structure on proximal epiphysis of humerus that articulates with glenoid cavity.,
246,UBERON:6007435,obsolete endocrine system component,,
247,UBERON:0013481,crypt of Lieberkuhn of ileum,An intestinal crypt that is located in the ileum.,
248,UBERON:0001542,inguinal lymph node,the lymph nodes located in the groin area,
249,UBERON:0003584,mammary gland connective tissue,The fibrous supportive tissue of the mammary gland.,
250,UBERON:1000001,collection of hairs on vertex,A collection of hairs that grows on the vertex (top of head).,
251,UBERON:0006601,presumptive ectoderm,Presumptive structure of the blastula that will develop into ectoderm.,
252,UBERON:0004170,spinal cord ventral commissure,"The band of nerve fibers which cross the midline of the spinal cord ventral to the central canal and posterior grey commissure. The anterior (or ventral) white commissure, also known as the alba anterior medullae spinalis, is a bundle of nerve fibers which cross the midline of the spinal cord just anterior to the gray commissure. A N4 fibers and C fibers carrying pain sensation in the spinothalamic tract contribute to this commissure, as do fibers of the anterior corticospinal tract, which carry motor signals from the primary motor cortex.",
253,UBERON:0015044,manual digit 2 metacarpus endochondral element,A manual digit 2 metacarpus bone or its cartilage or pre-cartilage precursor.,
254,UBERON:0000315,subarachnoid space,The space between the arachnoid and pia mater.,
255,UBERON:0003002,medial lemniscus,"Fiber tract arising predominantly from neurons in the nucleus gracilis and nucleus cuneatus in the medulla, projecting to thalamus. Fibers cross in the decussation of the medial lemniscus.",
256,UBERON:0005843,sacral spinal cord,A spinal cord segment that adjacent_to a sacral region.,
257,UBERON:0004300,distal phalanx,Distal-most phalanx within a digit.,
258,UBERON:0011630,intertemporal bone,,
259,UBERON:0022429,temporal cortex cingulum,,
260,UBERON:2000093,obsolete blastomere,"A cell arising during cleavage; the term encompasses the partially cleaved, incomplete cells at the blastodisc margin before they collectively form the yolk syncytial layer (YSL) in the midblastula. Kimmel et al, 1995.",
261,UBERON:0000006,islet of Langerhans,the clusters of hormone-producing cells that are scattered throughout the pancreas,
262,UBERON:0000033,head,The head is the anterior-most division of the body.,
263,UBERON:0000038,follicular fluid,The fluid surrounding the ovum and granulosa cells in the ovarian follicle.,
268,UBERON:0000310,breast,The upper ventral region of the torso of an organism.,
269,UBERON:0000358,blastocyst,"The mammalian blastocyst is a hollow ball of cells containing two cell types, the inner cell mass and the trophectoderm.",
272,UBERON:0000483,epithelium,"Portion of tissue, that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina. Examples: simple squamous epithelium, glandular cuboidal epithelium, transitional epithelium, myoepithelium.",
276,UBERON:0000956,cerebral cortex,"The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon. It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex.",
281,UBERON:0001003,skin epidermis,The outer epithelial layer of the skin that is superficial to the dermis.,
287,UBERON:0001089,sweat,Secretion produced by a sweat gland.,
288,UBERON:0001134,skeletal muscle tissue,Muscle tissue that consists primarily of skeletal muscle fibers.,
293,UBERON:0001268,peritoneal fluid,Transudate contained in the peritoneal cavity.,
296,UBERON:0001344,epithelium of vagina,The epithelial layer of the vagina.,
299,UBERON:0001377,quadriceps femoris,"One of the muscles belong to the group consisting of the rectus femoris and the three heads of the vastus (lateralis, medialis, intermedius).",
300,UBERON:0001388,gastrocnemius,"The most superficial muscle of the triceps surae group, in the posterior portion of the lower hindleg.",
302,UBERON:0001471,skin of prepuce of penis,the loose fold of skin that covers the penis,
303,UBERON:0001630,muscle organ,Organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work.,
304,UBERON:0001637,artery,An epithelial tube or tree of tibes that transports blood away from the heart.,
305,UBERON:0001723,tongue,A muscular organ in the floor of the mouth.,
306,UBERON:0001796,aqueous humor of eyeball,A thick watery refractive medium that fills the space between the lens and the cornea.,
307,UBERON:0001797,vitreous humor,"A transparent, semigelatinous substance that fills the cavity behind the crystalline lens of the eye and in front of the retina",
310,UBERON:0001851,cortex,Outermost layer of an organ.,
311,UBERON:0001869,cerebral hemisphere,"One of two bilateral, largely symmetrical organ subdivisions within the telencephalon which contain the cerebral cortex and cerebral white matter.",
317,UBERON:0001986,endothelium,"A layer of epithelium that lines the heart, blood vessels (endothelium, vascular), lymph vessels (endothelium, lymphatic), and the serous cavities of the body. Simple squamous epithelium which lines blood and lymphatic vessels and the heart",
320,UBERON:0002028,hindbrain,"The most posterior of the three principal regions of the brain. In mammals and birds the hindbrain is divided into a rostral metencephalon and a caudal myelencephalon. In zebrafish, with the exception of the cerebellum, the ventral remainder of the metencephalon can be separated only arbitrarily from the more caudal myelencephalic portion of the medulla oblongata (From: Neuroanatomy of the Zebrafish Brain). Organ component of neuraxis that has as its parts the pons, cerebellum and medulla oblongata.",
328,UBERON:0002114,duodenum,"The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one).",
329,UBERON:0002115,jejunum,the portion of the small intestine that extends from the duodenum to the ileum,
332,UBERON:0002305,layer of hippocampus,The layers of the laminar structure of the hippocampus.,
336,UBERON:0002385,muscle tissue,Muscle tissue is a contractile tissue made up of actin and myosin fibers.,
337,UBERON:0002509,mesenteric lymph node,"The lymph nodes located in the mesentery, of which there are 3 classes: ileocolic, juxtaintestinal mesenteric, and central superior group.",
338,UBERON:0002512,corpus luteum,A transient endocrine gland that develops from the postovulatory or atretic follicles and secretes progesterone; it is thought to be related to egg retention.,
339,UBERON:0003891,stroma,"Connective, non-functional supportive framework of a biological cell, tissue, or organ. Contrast with parenchyma.",
340,UBERON:0004288,skeleton,"Anatomical cluster that consists of all the skeletal elements (eg., bone, cartilage, and teeth) of the body.",
341,UBERON:0004903,bronchoalveolar duct junction,A branch point connecting the respiratory bronchioles to the alveolar ducts.,
342,UBERON:0005291,embryonic tissue,A portion of tissue that is part of an embryo.,
343,UBERON:0006314,bodily fluid,Liquid components of living organisms. includes fluids that are excreted or secreted from the body as well as body water that normally is not.,
345,UBERON:0007379,shelled egg,The hard-shelled reproductive body produced by a bird (especially by the common domestic chicken) or a reptile; also: its contents used as food.,
346,UBERON:0008987,renal parenchyma,"The functional tissue of the kidney, consisting of the nephrons.",
347,UBERON:0009754,blubber,"A thick layer of vascularized adipose tissue found under the skin of all cetaceans, pinnipeds and sirenians.",
348,UBERON:0009906,root of optic nerve,A nerve root that extends_fibers_into a nerve connecting eye with brain.,
349,UBERON:0010392,B cell domain,,
350,UBERON:0010393,T cell domain,,
351,UBERON:0010394,lymphocyte domain,,
352,UBERON:0010412,epididymal fat pad,encapsulated adipose tissue associated with the epididymis,
353,UBERON:0016482,dental plaque,"A soft, thin film of food debris, mucin, and dead epithelial cells deposited on the teeth, providing the medium for the growth of various bacteria. The main inorganic components are calcium and phosphorus, with small amounts of magnesium, potassium, and sodium; the organic matrix consists of polysaccharides, proteins, carbohydrates, lipids, and other components. Plaque plays an important etiologic role in the development of dental caries and periodontal and gingival diseases and provides the base for the development of materia alba; calcified plaque forms dental calculus.",
354,UBERON:0018543,lumen of intestine,The anatomical space within the intestine.,
356,CL:0000034,stem cell,A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells.,
357,CL:0000081,blood cell,A cell found predominately in the blood.,
358,CL:0000082,epithelial cell of lung,An epithelial cell of the lung.,
359,CL:0000216,Sertoli cell,A supporting cell projecting inward from the basement membrane of seminiferous tubules. They surround and nourish the developing male germ cells and secrete androgen binding protein. Their tight junctions with the spermatogonia and spermatocytes provide a blood-testis barrier.,
360,CL:0000501,granulosa cell,A supporting cell for the developing female gamete in the ovary of mammals. They develop from the coelomic epithelial cells of the gonadal ridge. Granulosa cells form a single layer around the mammalian oocyte in the primordial ovarian follicle and advance to form a multilayered cumulus oophorus surrounding the ovum in the Graafian follicle. The major functions of granulosa cells include the production of steroids and LH receptors.,
361,CL:0000604,retinal rod cell,"One of the two photoreceptor cell types of the vertebrate retina. In rods the photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision.",
362,CL:0000893,thymocyte,An immature T cell located in the thymus.,
363,CL:0000945,lymphocyte of B lineage,A lymphocyte of B lineage with the commitment to express an immunoglobulin complex.,
364,CL:0002553,fibroblast of lung,A fibroblast that is part of lung.,
365,CL:0002586,retinal pigment epithelial cell,An epithelial cell of the retinal pigmented epithelium.,
366,CL:0002620,skin fibroblast,A fibroblast of skin.,
367,CL:2000042,embryonic fibroblast,Any fibroblast that is part of a embryo.,
368,CL:2000074,splenocyte,Any leukocyte that is part of a spleen.,
370,UBERON:0000087,inner cell mass,A mass of cells that develop into the body of the embryo and some extraembryonic tissues,
371,UBERON:0000383,musculature of body,The subdivision of the musculoskeletal system that consists of all the muscles of the body.,
372,UBERON:0000922,embryo,"Anatomical entity that comprises the organism in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant.",
377,UBERON:0001049,neural tube,"In the developing vertebrate, the neural tube is the embryo's precursor to the central nervous system, which comprises the brain and spinal cord. The neural groove gradually deepens as the neural folds become elevated, and ultimately the folds meet and coalesce in the middle line and convert the groove into a closed tube, the neural tube or neural canal (which strictly speaking is the center of the neural tube), the ectodermal wall of which forms the rudiment of the nervous system..",
380,UBERON:0001890,forebrain,The most anterior region the brain including both the telencephalon and diencephalon.,
381,UBERON:0001891,midbrain,"The midbrain is the middle division of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes a ventral part containing the cerebral peduncles and a dorsal tectum containing the corpora quadrigemina and that surrounds the aqueduct of Sylvius connecting the third and fourth ventricles).",
383,UBERON:0001997,olfactory epithelium,A sensory epithelium inside the nasal cavity that is responsible for detecting odors.,
388,UBERON:0002101,limb,"A paired appendage that is evolved from a paired fin. The extent of this structure includes autopod, stylopod and zeugopod regions when present, but excludes the girdle and its parts.",
394,UBERON:0002691,ventral tegmental area,"Unpaired midbrain region situated in the ventromedial portion of the reticular formation. The VTA is medial to the substantia nigra and ventral to the red nucleus, and extends caudally from the posterior hypothalamus in the diencephalon. The VTA contains dopamine neurons that project to various limbic and cortical areas and is a critical component of the brain's reward circuitry.",
395,UBERON:0003244,epithelium of mammary gland,the epithelial layer of the luminal surfaces of the mammary gland,
396,UBERON:0003881,CA1 field of hippocampus,"Part of hippocampus proper bounded by CA2 and the subiculum, characterized by pyramidal neurons that receive projections from pyramidal neurons of CA3 via the Schaffer collaterals.",
397,UBERON:0003902,retinal neural layer,The part of the retina that contains neurons and photoreceptor cells.,
398,UBERON:0003903,bursa of Fabricius,"An epithelial and lymphoid organ that develops as a dorsal diverticulum of the proctodeal region of the cloaca in birds. The luminal (interior) surface of the bursa is plicated with as many as 15 primary and 7 secondary plicae or folds. These plicae have hundreds of bursal follicles containing follicle-associated epithelial cells, lymphocytes, macrophages, and plasma cells. Lymphoid stem cells migrate from the fetal liver to the bursa during ontogeny. In the bursa, these stem cells acquire the characteristics of mature, immunocompetent B cells. The bursa is an organ found in birds involved in B cell differentiation.",
399,UBERON:0007777,umbilical vein endothelium,An endothelium that is part of a umbilical vein.,
400,UBERON:0008930,somatosensory cortex,Area of the parietal lobe concerned with receiving general sensations. It lies posterior to the central sulcus.,
401,UBERON:0008933,primary somatosensory cortex,"(Chapin & Lin, 1984, rat): the region considered as the SI cortex is not a cytoarchitecturally homogeneous structure but consists instead of a patchwork array of areas containing dense aggregations of layer IV granule cells, surrounded by granule-cell-sparse regions. As was shown by Welker (b71,b76), and in our own mapping studies (see Fig. 3), this discontinuous pattern of granular, or koniocortical, zones contains within itself a map of the ratbs cutaneous periphery. There are clear subtypes within this cytoarchitectural subregion, notably including the bgranular aggregateb type of cytoarchitecture characteristic of the paw, limb, and mystacial vibrissae areas, and the bbarrel-fieldb type (originally described by Woolsey and Van der Loos, b70) seen in the nose and perioral regions. In the mouse, but not the rat, such barrels also cover the whole whisker representation (Welker and Woolsey, b74).",
402,UBERON:0012314,embryonic facial prominence,One of five swellings formed during the development of the face,
403,UBERON:0013694,brain endothelium,Vascular endothelium found in blood vessels of the blood-brain-barrier.,
404,UBERON:0019249,2-cell stage embryo,,
405,UBERON:0019252,8-cell stage embryo,,
408,UBERON:0000988,pons,"The part of the central nervous system lying between the medulla oblongata and the midbrain, ventral to the cerebellum.",
410,UBERON:0001037,strand of hair,"A filament, mostly protein, that grows from follicles found in the dermis.",
415,UBERON:0002384,connective tissue,Tissue with cells that deposit non-polarized extracellular matrix including connective tissue fibers and ground substance.,
416,UBERON:0003714,neural tissue,"Portion of tissue in the nervous system which consists of neurons and glial cells, and may also contain parts of the vasculature.",
417,UBERON:0003728,mediastinum,The central part of the thoracic cavity enclosed by the left and right pleurae.,
419,UBERON:0010011,collection of basal ganglia,"Subcortical masses of gray matter in the forebrain and midbrain that are richly interconnected and so viewed as a functional system. The nuclei usually included are the caudate nucleus (caudoputamen in rodents), putamen, globus pallidus, substantia nigra (pars compacta and pars reticulata) and the subthalamic nucleus. Some also include the nucleus accumbens and ventral pallidum.",
420,UBERON:0016435,chest wall,Subdivision of thorax which includes all structures from the skin to the costal pleura. Examples: There is only one chest wall.,
424,UBERON:0000056,ureter,"Muscular duct that propels urine from the kidneys to the urinary bladder, or related organs.",
436,UBERON:0000974,neck,"An organism subdivision that extends from the head to the pectoral girdle, encompassing the cervical vertebral column.",
443,UBERON:0001016,nervous system,"The nervous system is an organ system containing predominantly neuron and glial cells. In bilaterally symmetrical organism, it is arranged in a network of tree-like structures connected to a central body. The main functions of the nervous system are to regulate and control body functions, and to receive sensory input, process this information, and generate behavior.",
444,UBERON:0001017,central nervous system,The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the neural tube derivatives: the brain and spinal cord. In invertebrates it includes central ganglia plus nerve cord.,"::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001017&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
445,UBERON:0001021,nerve,"An enclosed, cable-like bundle of axons in the peripheral nervous system originating in a nerve root in the central nervous system (or a condensed nervous structure) connecting with peripheral structures.",
447,UBERON:0001044,saliva-secreting gland,saliva-secreting exocrine glands of the oral cavity,
448,UBERON:0001051,hypopharynx,Bottom part of the pharynx that connects to the esophagus.,
450,UBERON:0001179,peritoneal cavity,Anatomical cavity bounded by visceral and parietal peritoneum,
453,UBERON:0001295,endometrium,the glandular mucous membrane lining of the uterine cavity that is hormonally responsive during the estrous/menstrual cycle and during pregnancy,
455,UBERON:0001744,lymphoid tissue,"Portion of connective tissue with various types of white blood cells enmeshed in it, most numerous being the lymphocytes.",
456,UBERON:0001981,blood vessel,A vessel through which blood circulates in the body.,
464,UBERON:0002110,gall bladder,An organ that aids digestion and stores bile produced by the liver.,
466,UBERON:0002294,biliary system,Organ system subdivision that consists of the organs and ducts that are involved in the production and transportation of bile. In most species this is the gallbladder and the bile ducts (biliary tree).,
467,UBERON:0002331,umbilical cord,The connecting cord from the developing embryo to the placenta.,
472,UBERON:0002397,maxilla,"The bone which normally forms the lateral upper jaw in osteichthyans, including tetrapods.",
473,UBERON:0002465,lymphoid system,"The lymphatic system in vertebrates is a network of conduits that carry a clear fluid called lymph. It also includes the lymphoid tissue through which the lymph travels. Lymphoid tissue is found in many organs, particularly the lymph nodes, and in the lymphoid follicles associated with the digestive system such as the tonsils. The system also includes all the structures dedicated to the circulation and production of lymphocytes, which includes the spleen, thymus, bone marrow and the lymphoid tissue associated with the digestive system.",
476,UBERON:0006558,lymphatic part of lymphoid system,"An organ system subdivision that is a network of vessels capable of removing accumulating protein and fluid from the interstitial space and returning it to the vascular space. In some species, this network is connected to the immune system via lymph nodes and lymphocyte-producing organs, with the whole being the lymphoid system.",
477,UBERON:0007616,layer of synovial tissue,"A thin, loose vascular connective tissue that makes up the membranes surrounding joints and the sheaths protecting tendons (particularly flexor tendons in the hands and feet) where they pass over bony prominences. Synovial tissue contains synovial cells, which secrete a viscous liquid called synovial fluid; this liquid contains protein and hyaluronic acid and serves as a lubricant and nutrient for the joint cartilage surfaces. Synovial tissue can be found in tendons (tissues that connect muscle to bone), bursae (fluid-filled, cushioning sacs found in spaces between tendons, ligaments, and bones), and the cavity (hollow enclosed area) that separates the bones of a freely movable joint, such as the knee or elbow.",
478,UBERON:0007798,vascular system,Anatomical system that consists of all blood and lymph vessels.,
479,UBERON:0011143,upper urinary tract,Subdivision of urinary system which consists of the kidney and the ureters.,
480,UBERON:0014892,skeletal muscle organ,"A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles).",
